plant,bee,edge
Claytonia_virginica,Bombus_pensylvanicus,1
Geranium_maculatum,Bombus_pensylvanicus,1
Isopyrum_biternatum,Bombus_pensylvanicus,1
Dentaria_laciniata,Bombus_pensylvanicus,1
Polemonium_reptans,Bombus_pensylvanicus,1
Oxalis_violacea,Bombus_pensylvanicus,1
Hydrophyllum_appendiculatum,Bombus_pensylvanicus,1
Monarda_bradburiana,Bombus_pensylvanicus,1
Camassia_scilloides,Bombus_pensylvanicus,1
Tradescantia_virginiana,Bombus_pensylvanicus,1
Viola_sororia,Bombus_pensylvanicus,1
Hydrophyllum_virginianum,Bombus_pensylvanicus,1
Mertensia_virginica,Bombus_pensylvanicus,1
Viola_pubescens,Bombus_pensylvanicus,1
Dicentra_cucullaria,Bombus_pensylvanicus,1
Uvularia_grandiflora,Bombus_pensylvanicus,1
Delphinium_tricorne,Bombus_pensylvanicus,1
Phlox_divaricata,Bombus_pensylvanicus,1
Podophyllum_peltatum,Bombus_pensylvanicus,1
Geranium_maculatum,Bombus_griseocollis,1
Dentaria_laciniata,Bombus_griseocollis,1
Polemonium_reptans,Bombus_griseocollis,1
Hydrophyllum_appendiculatum,Bombus_griseocollis,1
Monarda_bradburiana,Bombus_griseocollis,1
Camassia_scilloides,Bombus_griseocollis,1
Tradescantia_virginiana,Bombus_griseocollis,1
Viola_sororia,Bombus_griseocollis,1
Hydrophyllum_virginianum,Bombus_griseocollis,1
Mertensia_virginica,Bombus_griseocollis,1
Viola_pubescens,Bombus_griseocollis,1
Dicentra_cucullaria,Bombus_griseocollis,1
Uvularia_grandiflora,Bombus_griseocollis,1
Delphinium_tricorne,Bombus_griseocollis,1
Phlox_divaricata,Bombus_griseocollis,1
Podophyllum_peltatum,Bombus_griseocollis,1
Claytonia_virginica,Bombus_impatiens,1
Geranium_maculatum,Bombus_impatiens,1
Dentaria_laciniata,Bombus_impatiens,1
Polemonium_reptans,Bombus_impatiens,1
Hydrophyllum_appendiculatum,Bombus_impatiens,1
Monarda_bradburiana,Bombus_impatiens,1
Camassia_scilloides,Bombus_impatiens,1
Erythronium_albidum,Bombus_impatiens,1
Tradescantia_virginiana,Bombus_impatiens,1
Viola_sororia,Bombus_impatiens,1
Hydrophyllum_virginianum,Bombus_impatiens,1
Dicentra_cucullaria,Bombus_impatiens,1
Uvularia_grandiflora,Bombus_impatiens,1
Delphinium_tricorne,Bombus_impatiens,1
Phlox_divaricata,Bombus_impatiens,1
Podophyllum_peltatum,Bombus_impatiens,1
Claytonia_virginica,Apis_mellifera,1
Geranium_maculatum,Apis_mellifera,1
Erigenia_bulbosa,Apis_mellifera,1
Isopyrum_biternatum,Apis_mellifera,1
Dentaria_laciniata,Apis_mellifera,1
Polemonium_reptans,Apis_mellifera,1
Oxalis_violacea,Apis_mellifera,1
Ranunculus_hispidus_var_nitidus,Apis_mellifera,1
Monarda_bradburiana,Apis_mellifera,1
Camassia_scilloides,Apis_mellifera,1
Maianthemum_stellatum,Apis_mellifera,1
Tradescantia_virginiana,Apis_mellifera,1
Viola_sororia,Apis_mellifera,1
Anemonella_thalictroides,Apis_mellifera,1
Mertensia_virginica,Apis_mellifera,1
Dicentra_cucullaria,Apis_mellifera,1
Maianthemum_racemosum,Apis_mellifera,1
Podophyllum_peltatum,Apis_mellifera,1
Claytonia_virginica,Eucera_hamata,1
Geranium_maculatum,Eucera_hamata,1
Polemonium_reptans,Eucera_hamata,1
Oxalis_violacea,Eucera_hamata,1
Hydrophyllum_appendiculatum,Eucera_hamata,1
Monarda_bradburiana,Eucera_hamata,1
Camassia_scilloides,Eucera_hamata,1
Tradescantia_virginiana,Eucera_hamata,1
Viola_sororia,Eucera_hamata,1
Hydrophyllum_virginianum,Eucera_hamata,1
Mertensia_virginica,Eucera_hamata,1
Delphinium_tricorne,Eucera_hamata,1
Phlox_divaricata,Eucera_hamata,1
Podophyllum_peltatum,Eucera_hamata,1
Claytonia_virginica,Ceratina_calcarata_dupla_strenua,1
Geranium_maculatum,Ceratina_calcarata_dupla_strenua,1
Erigenia_bulbosa,Ceratina_calcarata_dupla_strenua,1
Isopyrum_biternatum,Ceratina_calcarata_dupla_strenua,1
Dentaria_laciniata,Ceratina_calcarata_dupla_strenua,1
Polemonium_reptans,Ceratina_calcarata_dupla_strenua,1
Oxalis_violacea,Ceratina_calcarata_dupla_strenua,1
Hydrophyllum_appendiculatum,Ceratina_calcarata_dupla_strenua,1
Ranunculus_hispidus_var_nitidus,Ceratina_calcarata_dupla_strenua,1
Monarda_bradburiana,Ceratina_calcarata_dupla_strenua,1
Camassia_scilloides,Ceratina_calcarata_dupla_strenua,1
Erythronium_albidum,Ceratina_calcarata_dupla_strenua,1
Maianthemum_stellatum,Ceratina_calcarata_dupla_strenua,1
Tradescantia_virginiana,Ceratina_calcarata_dupla_strenua,1
Viola_sororia,Ceratina_calcarata_dupla_strenua,1
Anemonella_thalictroides,Ceratina_calcarata_dupla_strenua,1
Viola_pubescens,Ceratina_calcarata_dupla_strenua,1
Delphinium_tricorne,Ceratina_calcarata_dupla_strenua,1
Claytonia_virginica,Augochlorella_aurata,1
Erigenia_bulbosa,Augochlorella_aurata,1
Isopyrum_biternatum,Augochlorella_aurata,1
Polemonium_reptans,Augochlorella_aurata,1
Oxalis_violacea,Augochlorella_aurata,1
Hydrophyllum_appendiculatum,Augochlorella_aurata,1
Ranunculus_hispidus_var_nitidus,Augochlorella_aurata,1
Monarda_bradburiana,Augochlorella_aurata,1
Camassia_scilloides,Augochlorella_aurata,1
Sanicula_odorata,Augochlorella_aurata,1
Maianthemum_stellatum,Augochlorella_aurata,1
Anemonella_thalictroides,Augochlorella_aurata,1
Hydrophyllum_virginianum,Augochlorella_aurata,1
Mertensia_virginica,Augochlorella_aurata,1
Viola_pubescens,Augochlorella_aurata,1
Claytonia_virginica,Eucera_dubitata,1
Geranium_maculatum,Eucera_dubitata,1
Isopyrum_biternatum,Eucera_dubitata,1
Dentaria_laciniata,Eucera_dubitata,1
Polemonium_reptans,Eucera_dubitata,1
Hydrophyllum_appendiculatum,Eucera_dubitata,1
Ranunculus_hispidus_var_nitidus,Eucera_dubitata,1
Camassia_scilloides,Eucera_dubitata,1
Erythronium_albidum,Eucera_dubitata,1
Viola_sororia,Eucera_dubitata,1
Hydrophyllum_virginianum,Eucera_dubitata,1
Mertensia_virginica,Eucera_dubitata,1
Viola_pubescens,Eucera_dubitata,1
Dicentra_cucullaria,Eucera_dubitata,1
Claytonia_virginica,Andrena_carlini,1
Erigenia_bulbosa,Andrena_carlini,1
Isopyrum_biternatum,Andrena_carlini,1
Dentaria_laciniata,Andrena_carlini,1
Polemonium_reptans,Andrena_carlini,1
Hydrophyllum_appendiculatum,Andrena_carlini,1
Erythronium_albidum,Andrena_carlini,1
Maianthemum_stellatum,Andrena_carlini,1
Viola_sororia,Andrena_carlini,1
Anemonella_thalictroides,Andrena_carlini,1
Viola_pubescens,Andrena_carlini,1
Dicentra_cucullaria,Andrena_carlini,1
Uvularia_grandiflora,Andrena_carlini,1
Claytonia_virginica,Bombus_vagans,1
Geranium_maculatum,Bombus_vagans,1
Erigenia_bulbosa,Bombus_vagans,1
Polemonium_reptans,Bombus_vagans,1
Hydrophyllum_appendiculatum,Bombus_vagans,1
Tradescantia_virginiana,Bombus_vagans,1
Hydrophyllum_virginianum,Bombus_vagans,1
Mertensia_virginica,Bombus_vagans,1
Dicentra_cucullaria,Bombus_vagans,1
Delphinium_tricorne,Bombus_vagans,1
Phlox_divaricata,Bombus_vagans,1
Claytonia_virginica,Osmia_pumila,1
Geranium_maculatum,Osmia_pumila,1
Erigenia_bulbosa,Osmia_pumila,1
Isopyrum_biternatum,Osmia_pumila,1
Dentaria_laciniata,Osmia_pumila,1
Polemonium_reptans,Osmia_pumila,1
Oxalis_violacea,Osmia_pumila,1
Hydrophyllum_appendiculatum,Osmia_pumila,1
Ranunculus_hispidus_var_nitidus,Osmia_pumila,1
Camassia_scilloides,Osmia_pumila,1
Erythronium_albidum,Osmia_pumila,1
Viola_sororia,Osmia_pumila,1
Anemonella_thalictroides,Osmia_pumila,1
Mertensia_virginica,Osmia_pumila,1
Viola_pubescens,Osmia_pumila,1
Claytonia_virginica,Lasioglossum_versatum,1
Geranium_maculatum,Lasioglossum_versatum,1
Erigenia_bulbosa,Lasioglossum_versatum,1
Isopyrum_biternatum,Lasioglossum_versatum,1
Dentaria_laciniata,Lasioglossum_versatum,1
Polemonium_reptans,Lasioglossum_versatum,1
Oxalis_violacea,Lasioglossum_versatum,1
Hydrophyllum_appendiculatum,Lasioglossum_versatum,1
Monarda_bradburiana,Lasioglossum_versatum,1
Camassia_scilloides,Lasioglossum_versatum,1
Erythronium_albidum,Lasioglossum_versatum,1
Tradescantia_virginiana,Lasioglossum_versatum,1
Anemonella_thalictroides,Lasioglossum_versatum,1
Mertensia_virginica,Lasioglossum_versatum,1
Viola_pubescens,Lasioglossum_versatum,1
Claytonia_virginica,Bombus_auricomus,1
Polemonium_reptans,Bombus_auricomus,1
Oxalis_violacea,Bombus_auricomus,1
Hydrophyllum_appendiculatum,Bombus_auricomus,1
Monarda_bradburiana,Bombus_auricomus,1
Camassia_scilloides,Bombus_auricomus,1
Tradescantia_virginiana,Bombus_auricomus,1
Viola_sororia,Bombus_auricomus,1
Mertensia_virginica,Bombus_auricomus,1
Dicentra_cucullaria,Bombus_auricomus,1
Delphinium_tricorne,Bombus_auricomus,1
Geranium_maculatum,Bombus_bimaculatus,1
Dentaria_laciniata,Bombus_bimaculatus,1
Polemonium_reptans,Bombus_bimaculatus,1
Hydrophyllum_appendiculatum,Bombus_bimaculatus,1
Monarda_bradburiana,Bombus_bimaculatus,1
Hydrophyllum_virginianum,Bombus_bimaculatus,1
Mertensia_virginica,Bombus_bimaculatus,1
Dicentra_cucullaria,Bombus_bimaculatus,1
Uvularia_grandiflora,Bombus_bimaculatus,1
Phlox_divaricata,Bombus_bimaculatus,1
Claytonia_virginica,Osmia_lignaria,1
Geranium_maculatum,Osmia_lignaria,1
Erigenia_bulbosa,Osmia_lignaria,1
Dentaria_laciniata,Osmia_lignaria,1
Polemonium_reptans,Osmia_lignaria,1
Hydrophyllum_appendiculatum,Osmia_lignaria,1
Ranunculus_hispidus_var_nitidus,Osmia_lignaria,1
Camassia_scilloides,Osmia_lignaria,1
Erythronium_albidum,Osmia_lignaria,1
Viola_sororia,Osmia_lignaria,1
Hydrophyllum_virginianum,Osmia_lignaria,1
Mertensia_virginica,Osmia_lignaria,1
Dicentra_cucullaria,Osmia_lignaria,1
Geranium_maculatum,Anthophora_ursina,1
Polemonium_reptans,Anthophora_ursina,1
Monarda_bradburiana,Anthophora_ursina,1
Viola_sororia,Anthophora_ursina,1
Mertensia_virginica,Anthophora_ursina,1
Viola_pubescens,Anthophora_ursina,1
Dicentra_cucullaria,Anthophora_ursina,1
Delphinium_tricorne,Anthophora_ursina,1
Claytonia_virginica,Halictus_rubicundus,1
Geranium_maculatum,Halictus_rubicundus,1
Erigenia_bulbosa,Halictus_rubicundus,1
Isopyrum_biternatum,Halictus_rubicundus,1
Dentaria_laciniata,Halictus_rubicundus,1
Polemonium_reptans,Halictus_rubicundus,1
Oxalis_violacea,Halictus_rubicundus,1
Ranunculus_hispidus_var_nitidus,Halictus_rubicundus,1
Camassia_scilloides,Halictus_rubicundus,1
Erythronium_albidum,Halictus_rubicundus,1
Maianthemum_stellatum,Halictus_rubicundus,1
Anemonella_thalictroides,Halictus_rubicundus,1
Delphinium_tricorne,Halictus_rubicundus,1
Claytonia_virginica,Halictus_confusus,1
Erigenia_bulbosa,Halictus_confusus,1
Isopyrum_biternatum,Halictus_confusus,1
Oxalis_violacea,Halictus_confusus,1
Ranunculus_hispidus_var_nitidus,Halictus_confusus,1
Camassia_scilloides,Halictus_confusus,1
Erythronium_albidum,Halictus_confusus,1
Tradescantia_virginiana,Halictus_confusus,1
Viola_sororia,Halictus_confusus,1
Anemonella_thalictroides,Halictus_confusus,1
Viola_pubescens,Halictus_confusus,1
Claytonia_virginica,Lasioglossum_coriaceum,1
Geranium_maculatum,Lasioglossum_coriaceum,1
Isopyrum_biternatum,Lasioglossum_coriaceum,1
Polemonium_reptans,Lasioglossum_coriaceum,1
Hydrophyllum_appendiculatum,Lasioglossum_coriaceum,1
Ranunculus_hispidus_var_nitidus,Lasioglossum_coriaceum,1
Monarda_bradburiana,Lasioglossum_coriaceum,1
Sanicula_odorata,Lasioglossum_coriaceum,1
Anemonella_thalictroides,Lasioglossum_coriaceum,1
Hydrophyllum_virginianum,Lasioglossum_coriaceum,1
Viola_pubescens,Lasioglossum_coriaceum,1
Claytonia_virginica,Lasioglossum_imitatum,1
Erigenia_bulbosa,Lasioglossum_imitatum,1
Isopyrum_biternatum,Lasioglossum_imitatum,1
Dentaria_laciniata,Lasioglossum_imitatum,1
Ranunculus_hispidus_var_nitidus,Lasioglossum_imitatum,1
Sanicula_odorata,Lasioglossum_imitatum,1
Maianthemum_stellatum,Lasioglossum_imitatum,1
Anemonella_thalictroides,Lasioglossum_imitatum,1
Viola_pubescens,Lasioglossum_imitatum,1
Maianthemum_racemosum,Lasioglossum_imitatum,1
Claytonia_virginica,Lasioglossum_pectorale,1
Isopyrum_biternatum,Lasioglossum_pectorale,1
Oxalis_violacea,Lasioglossum_pectorale,1
Hydrophyllum_appendiculatum,Lasioglossum_pectorale,1
Ranunculus_hispidus_var_nitidus,Lasioglossum_pectorale,1
Monarda_bradburiana,Lasioglossum_pectorale,1
Camassia_scilloides,Lasioglossum_pectorale,1
Tradescantia_virginiana,Lasioglossum_pectorale,1
Anemonella_thalictroides,Lasioglossum_pectorale,1
Uvularia_grandiflora,Lasioglossum_pectorale,1
Claytonia_virginica,Lasioglossum_pilosum,1
Geranium_maculatum,Lasioglossum_pilosum,1
Erigenia_bulbosa,Lasioglossum_pilosum,1
Isopyrum_biternatum,Lasioglossum_pilosum,1
Dentaria_laciniata,Lasioglossum_pilosum,1
Polemonium_reptans,Lasioglossum_pilosum,1
Oxalis_violacea,Lasioglossum_pilosum,1
Hydrophyllum_appendiculatum,Lasioglossum_pilosum,1
Ranunculus_hispidus_var_nitidus,Lasioglossum_pilosum,1
Camassia_scilloides,Lasioglossum_pilosum,1
Erythronium_albidum,Lasioglossum_pilosum,1
Viola_pubescens,Lasioglossum_pilosum,1
Isopyrum_biternatum,Lasioglossum_macoupinense,1
Hydrophyllum_appendiculatum,Lasioglossum_macoupinense,1
Ranunculus_hispidus_var_nitidus,Lasioglossum_macoupinense,1
Monarda_bradburiana,Lasioglossum_macoupinense,1
Maianthemum_stellatum,Lasioglossum_macoupinense,1
Tradescantia_virginiana,Lasioglossum_macoupinense,1
Maianthemum_racemosum,Lasioglossum_macoupinense,1
Claytonia_virginica,Osmia_atriventris,1
Geranium_maculatum,Osmia_atriventris,1
Erigenia_bulbosa,Osmia_atriventris,1
Polemonium_reptans,Osmia_atriventris,1
Mertensia_virginica,Osmia_atriventris,1
Viola_pubescens,Osmia_atriventris,1
Uvularia_grandiflora,Osmia_atriventris,1
Dentaria_laciniata,Osmia_bucephala,1
Erythronium_albidum,Osmia_bucephala,1
Viola_sororia,Osmia_bucephala,1
Mertensia_virginica,Osmia_bucephala,1
Dicentra_cucullaria,Osmia_bucephala,1
Monarda_bradburiana,Anthophora_abrupta,1
Hydrophyllum_virginianum,Anthophora_abrupta,1
Mertensia_virginica,Anthophora_abrupta,1
Delphinium_tricorne,Anthophora_abrupta,1
Claytonia_virginica,Andrena_cressonii,1
Dentaria_laciniata,Andrena_cressonii,1
Oxalis_violacea,Andrena_cressonii,1
Ranunculus_hispidus_var_nitidus,Andrena_cressonii,1
Maianthemum_stellatum,Andrena_cressonii,1
Tradescantia_virginiana,Andrena_cressonii,1
Anemonella_thalictroides,Andrena_cressonii,1
Geranium_maculatum,Bombus_variabilis,1
Polemonium_reptans,Bombus_variabilis,1
Hydrophyllum_appendiculatum,Bombus_variabilis,1
Hydrophyllum_virginianum,Bombus_variabilis,1
Phlox_divaricata,Bombus_variabilis,1
Claytonia_virginica,Augochlorella_persimilis,1
Geranium_maculatum,Augochlorella_persimilis,1
Polemonium_reptans,Augochlorella_persimilis,1
Monarda_bradburiana,Augochlorella_persimilis,1
Camassia_scilloides,Augochlorella_persimilis,1
Maianthemum_stellatum,Augochlorella_persimilis,1
Tradescantia_virginiana,Augochlorella_persimilis,1
Claytonia_virginica,Agapostemon_sericeus,1
Erigenia_bulbosa,Agapostemon_sericeus,1
Isopyrum_biternatum,Agapostemon_sericeus,1
Dentaria_laciniata,Agapostemon_sericeus,1
Polemonium_reptans,Agapostemon_sericeus,1
Oxalis_violacea,Agapostemon_sericeus,1
Hydrophyllum_appendiculatum,Agapostemon_sericeus,1
Delphinium_tricorne,Agapostemon_sericeus,1
Isopyrum_biternatum,Lasioglossum_obscurum,1
Polemonium_reptans,Lasioglossum_obscurum,1
Ranunculus_hispidus_var_nitidus,Lasioglossum_obscurum,1
Maianthemum_stellatum,Lasioglossum_obscurum,1
Maianthemum_racemosum,Lasioglossum_obscurum,1
Isopyrum_biternatum,Augochlora_pura,1
Polemonium_reptans,Augochlora_pura,1
Ranunculus_hispidus_var_nitidus,Augochlora_pura,1
Maianthemum_stellatum,Augochlora_pura,1
Maianthemum_racemosum,Augochlora_pura,1
Erythronium_albidum,Osmia_collinsiae,1
Viola_sororia,Osmia_collinsiae,1
Dicentra_cucullaria,Osmia_collinsiae,1
Claytonia_virginica,Nomada_ovata,1
Dentaria_laciniata,Nomada_ovata,1
Polemonium_reptans,Nomada_ovata,1
Anemonella_thalictroides,Nomada_ovata,1
Hydrophyllum_virginianum,Nomada_ovata,1
Claytonia_virginica,Nomada_affabilis,1
Polemonium_reptans,Nomada_affabilis,1
Hydrophyllum_appendiculatum,Nomada_affabilis,1
Camassia_scilloides,Nomada_affabilis,1
Viola_sororia,Nomada_affabilis,1
Claytonia_virginica,Lasioglossum_foxii,1
Erigenia_bulbosa,Lasioglossum_foxii,1
Isopyrum_biternatum,Lasioglossum_foxii,1
Dentaria_laciniata,Lasioglossum_foxii,1
Sanicula_odorata,Lasioglossum_foxii,1
Viola_sororia,Lasioglossum_foxii,1
Claytonia_virginica,Augochloropsis_fulgida_metallica,1
Geranium_maculatum,Augochloropsis_fulgida_metallica,1
Erigenia_bulbosa,Augochloropsis_fulgida_metallica,1
Hydrophyllum_appendiculatum,Augochloropsis_fulgida_metallica,1
Sanicula_odorata,Augochloropsis_fulgida_metallica,1
Maianthemum_stellatum,Augochloropsis_fulgida_metallica,1
Polemonium_reptans,Osmia_conjuncta,1
Hydrophyllum_appendiculatum,Osmia_conjuncta,1
Ranunculus_hispidus_var_nitidus,Osmia_conjuncta,1
Anemonella_thalictroides,Osmia_conjuncta,1
Claytonia_virginica,Colletes_inaequalis,1
Erigenia_bulbosa,Colletes_inaequalis,1
Isopyrum_biternatum,Colletes_inaequalis,1
Erythronium_albidum,Colletes_inaequalis,1
Anemonella_thalictroides,Colletes_inaequalis,1
Dentaria_laciniata,Nomada_dentariae,1
Erythronium_albidum,Nomada_dentariae,1
Mertensia_virginica,Nomada_dentariae,1
Claytonia_virginica,Lasioglossum_zephyrum,1
Isopyrum_biternatum,Lasioglossum_zephyrum,1
Ranunculus_hispidus_var_nitidus,Lasioglossum_zephyrum,1
Maianthemum_racemosum,Lasioglossum_zephyrum,1
Claytonia_virginica,Andrena_pruni,1
Dentaria_laciniata,Andrena_pruni,1
Polemonium_reptans,Andrena_pruni,1
Uvularia_grandiflora,Andrena_pruni,1
Erigenia_bulbosa,Lasioglossum_forbesii,1
Isopyrum_biternatum,Lasioglossum_forbesii,1
Oxalis_violacea,Lasioglossum_forbesii,1
Monarda_bradburiana,Lasioglossum_forbesii,1
Camassia_scilloides,Lasioglossum_forbesii,1
Geranium_maculatum,Andrena_geranii,1
Polemonium_reptans,Andrena_geranii,1
Hydrophyllum_appendiculatum,Andrena_geranii,1
Hydrophyllum_virginianum,Andrena_geranii,1
Claytonia_virginica,Halictus_ligatus,1
Dentaria_laciniata,Halictus_ligatus,1
Oxalis_violacea,Halictus_ligatus,1
Ranunculus_hispidus_var_nitidus,Halictus_ligatus,1
Camassia_scilloides,Halictus_ligatus,1
Claytonia_virginica,Andrena_illini_sayi,1
Erigenia_bulbosa,Andrena_illini_sayi,1
Isopyrum_biternatum,Andrena_illini_sayi,1
Dentaria_laciniata,Andrena_illini_sayi,1
Polemonium_reptans,Andrena_illini_sayi,1
Erythronium_albidum,Andrena_illini_sayi,1
Isopyrum_biternatum,Nomada_sayi,1
Dentaria_laciniata,Nomada_sayi,1
Viola_pubescens,Nomada_sayi,1
Geranium_maculatum,Agapostemon_virescens,1
Camassia_scilloides,Agapostemon_virescens,1
Tradescantia_virginiana,Agapostemon_virescens,1
Sanicula_odorata,Lasioglossum_tegulare,1
Tradescantia_virginiana,Lasioglossum_tegulare,1
Claytonia_virginica,Nomada_cressonii,1
Dentaria_laciniata,Nomada_cressonii,1
Oxalis_violacea,Nomada_cressonii,1
Maianthemum_stellatum,Nomada_cressonii,1
Camassia_scilloides,Lasioglossum_pruinosum,1
Tradescantia_virginiana,Lasioglossum_pruinosum,1
Claytonia_virginica,Andrena_rugosa,1
Erigenia_bulbosa,Andrena_rugosa,1
Isopyrum_biternatum,Andrena_rugosa,1
Dentaria_laciniata,Andrena_rugosa,1
Sanicula_odorata,Andrena_rugosa,1
Phlox_divaricata,Osmia_cordata,1
Claytonia_virginica,Andrena_mandibularis,1
Uvularia_grandiflora,Andrena_mandibularis,1
Polemonium_reptans,Nomada_hydrophylli,1
Hydrophyllum_virginianum,Nomada_hydrophylli,1
Oxalis_violacea,Andrena_violae,1
Viola_sororia,Andrena_violae,1
Hydrophyllum_appendiculatum,Megachile_brevis,1
Hydrophyllum_virginianum,Megachile_brevis,1
Monarda_bradburiana,Hylaeus_modestus,1
Sanicula_odorata,Hylaeus_modestus,1
Claytonia_virginica,Andrena_imitatrix,1
Isopyrum_biternatum,Andrena_imitatrix,1
Anemonella_thalictroides,Andrena_imitatrix,1
Monarda_bradburiana,Megachile_mendica,1
Camassia_scilloides,Megachile_mendica,1
Dicentra_cucullaria,Habropoda_laboriosa,1
Claytonia_virginica,Lasioglossum_cressonii,1
Isopyrum_biternatum,Lasioglossum_cressonii,1
Viola_sororia,Lasioglossum_cressonii,1
Geranium_maculatum,Eucera_rosae,1
Hydrophyllum_appendiculatum,Eucera_rosae,1
Monarda_bradburiana,Eucera_rosae,1
Geranium_maculatum,Nomada_luteoloides,1
Dentaria_laciniata,Nomada_luteoloides,1
Erythronium_albidum,Nomada_luteoloides,1
Oxalis_violacea,Nomada_articulata,1
Camassia_scilloides,Nomada_articulata,1
Oxalis_violacea,Nomada_superba,1
Camassia_scilloides,Nomada_superba,1
Geranium_maculatum,Osmia_simillima,1
Oxalis_violacea,Osmia_simillima,1
Ranunculus_hispidus_var_nitidus,Osmia_simillima,1
Claytonia_virginica,Andrena_personata,1
Oxalis_violacea,Andrena_personata,1
Ranunculus_hispidus_var_nitidus,Andrena_personata,1
Geranium_maculatum,Andrena_polemonii,1
Polemonium_reptans,Andrena_polemonii,1
Ranunculus_hispidus_var_nitidus,Andrena_polemonii,1
Geranium_maculatum,Hoplitis_pilosifrons,1
Polemonium_reptans,Hoplitis_pilosifrons,1
Hydrophyllum_appendiculatum,Hoplitis_pilosifrons,1
Claytonia_virginica,Andrena_erythronii,1
Erigenia_bulbosa,Andrena_erythronii,1
Erythronium_albidum,Andrena_erythronii,1
Erigenia_bulbosa,Andrena_mariae,1
Erythronium_albidum,Andrena_mariae,1
Maianthemum_stellatum,Sphecodes_smilacinae,1
Maianthemum_stellatum,Lasioglossum_laevissimum,1
Claytonia_virginica,Andrena_miserabilis,1
Erigenia_bulbosa,Andrena_miserabilis,1
Isopyrum_biternatum,Andrena_miserabilis,1
Dentaria_laciniata,Andrena_miserabilis,1
Sanicula_odorata,Hylaeus_affinis,1
Sanicula_odorata,Hylaeus_brevicornis,1
Sanicula_odorata,Hylaeus_saniculae,1
Geranium_maculatum,Coelioxys_sayi,1
Monarda_bradburiana,Coelioxys_sayi,1
Monarda_bradburiana,Anthophora_terminalis,1
Geranium_maculatum,Pseudopanurgus_parvus,1
Hydrophyllum_appendiculatum,Pseudopanurgus_parvus,1
Ranunculus_hispidus_var_nitidus,Chelostoma_philadelphi,1
Claytonia_virginica,Sphecodes_ranunculi,1
Polemonium_reptans,Sphecodes_ranunculi,1
Claytonia_virginica,Andrena_distans,1
Erigenia_bulbosa,Andrena_distans,1
Isopyrum_biternatum,Andrena_distans,1
Claytonia_virginica,Andrena_erigeniae,1
Erigenia_bulbosa,Andrena_erigeniae,1
Isopyrum_biternatum,Andrena_erigeniae,1
Hydrophyllum_appendiculatum,Andrena_forbesii,1
Oxalis_violacea,Hoplitis_spoliata,1
Oxalis_violacea,Lasioglossum_albipenne,1
Claytonia_virginica,Nomada_parva,1
Polemonium_reptans,Nomada_parva,1
Claytonia_virginica,Andrena_nasonii,1
Dentaria_laciniata,Andrena_nasonii,1
Dentaria_laciniata,Nomada_cuneata,1
Dentaria_laciniata,Nomada_illinoensis,1
Isopyrum_biternatum,Nomada_integerrima,1
Erigenia_bulbosa,Lasioglossum_coeruleum,1
Erigenia_bulbosa,Andrena_andrenoides,1
Erigenia_bulbosa,Andrena_nuda,1
Erigenia_bulbosa,Andrena_salictaria,1
Geranium_maculatum,Andrena_illinoensis,1
Geranium_maculatum,Stelis_lateralis,1
Geranium_maculatum,Nomada_denticulata,1
Claytonia_virginica,Andrena_arabis,1
Claytonia_virginica,Lasioglossum_cinctipes,1
Claytonia_virginica,Agapostemon_splendens,1
Claytonia_virginica,Andrena_erythrogaster,1
Claytonia_virginica,Nomada_obliterata,1
Claytonia_virginica,Sphecodes_dichrous,1
Claytonia_virginica,Lasioglossum_truncatum,1
Claytonia_virginica,Andrena_dunningi,1
Claytonia_virginica,Lasioglossum_illinoense,1