species,type,order
Agapostemon_sericeus,bee,30
Agapostemon_splendens,bee,103
Agapostemon_virescens,bee,48
Andrena_andrenoides,bee,95
Andrena_arabis,bee,101
Andrena_carlini,bee,9
Andrena_cressonii,bee,27
Andrena_distans,bee,84
Andrena_dunningi,bee,108
Andrena_erigeniae,bee,85
Andrena_erythrogaster,bee,104
Andrena_erythronii,bee,71
Andrena_forbesii,bee,86
Andrena_geranii,bee,44
Andrena_illini_sayi,bee,46
Andrena_illinoensis,bee,98
Andrena_imitatrix,bee,59
Andrena_mandibularis,bee,54
Andrena_mariae,bee,72
Andrena_miserabilis,bee,75
Andrena_nasonii,bee,90
Andrena_nuda,bee,96
Andrena_personata,bee,68
Andrena_polemonii,bee,69
Andrena_pruni,bee,42
Andrena_rugosa,bee,52
Andrena_salictaria,bee,97
Andrena_violae,bee,56
Anthophora_abrupta,bee,26
Anthophora_terminalis,bee,80
Anthophora_ursina,bee,16
Apis_mellifera,bee,4
Augochlora_pura,bee,32
Augochlorella_aurata,bee,7
Augochlorella_persimilis,bee,29
Augochloropsis_fulgida_metallica,bee,37
Bombus_auricomus,bee,13
Bombus_bimaculatus,bee,14
Bombus_griseocollis,bee,2
Bombus_impatiens,bee,3
Bombus_pensylvanicus,bee,1
Bombus_vagans,bee,10
Bombus_variabilis,bee,28
Ceratina_calcarata_dupla_strenua,bee,6
Chelostoma_philadelphi,bee,82
Coelioxys_sayi,bee,79
Colletes_inaequalis,bee,39
Eucera_dubitata,bee,8
Eucera_hamata,bee,5
Eucera_rosae,bee,63
Habropoda_laboriosa,bee,61
Halictus_confusus,bee,18
Halictus_ligatus,bee,45
Halictus_rubicundus,bee,17
Hoplitis_pilosifrons,bee,70
Hoplitis_spoliata,bee,87
Hylaeus_affinis,bee,76
Hylaeus_brevicornis,bee,77
Hylaeus_modestus,bee,58
Hylaeus_saniculae,bee,78
Lasioglossum_albipenne,bee,88
Lasioglossum_cinctipes,bee,102
Lasioglossum_coeruleum,bee,94
Lasioglossum_coriaceum,bee,19
Lasioglossum_cressonii,bee,62
Lasioglossum_forbesii,bee,43
Lasioglossum_foxii,bee,36
Lasioglossum_illinoense,bee,109
Lasioglossum_imitatum,bee,20
Lasioglossum_laevissimum,bee,74
Lasioglossum_macoupinense,bee,23
Lasioglossum_obscurum,bee,31
Lasioglossum_pectorale,bee,21
Lasioglossum_pilosum,bee,22
Lasioglossum_pruinosum,bee,51
Lasioglossum_tegulare,bee,49
Lasioglossum_truncatum,bee,107
Lasioglossum_versatum,bee,12
Lasioglossum_zephyrum,bee,41
Megachile_brevis,bee,57
Megachile_mendica,bee,60
Nomada_affabilis,bee,35
Nomada_articulata,bee,65
Nomada_cressonii,bee,50
Nomada_cuneata,bee,91
Nomada_dentariae,bee,40
Nomada_denticulata,bee,100
Nomada_hydrophylli,bee,55
Nomada_illinoensis,bee,92
Nomada_integerrima,bee,93
Nomada_luteoloides,bee,64
Nomada_obliterata,bee,105
Nomada_ovata,bee,34
Nomada_parva,bee,89
Nomada_sayi,bee,47
Nomada_superba,bee,66
Osmia_atriventris,bee,24
Osmia_bucephala,bee,25
Osmia_collinsiae,bee,33
Osmia_conjuncta,bee,38
Osmia_cordata,bee,53
Osmia_lignaria,bee,15
Osmia_pumila,bee,11
Osmia_simillima,bee,67
Pseudopanurgus_parvus,bee,81
Sphecodes_dichrous,bee,106
Sphecodes_ranunculi,bee,83
Sphecodes_smilacinae,bee,73
Stelis_lateralis,bee,99
Anemonella_thalictroides,plant,17
Camassia_scilloides,plant,11
Claytonia_virginica,plant,1
Delphinium_tricorne,plant,24
Dentaria_laciniata,plant,5
Dicentra_cucullaria,plant,21
Erigenia_bulbosa,plant,3
Erythronium_albidum,plant,12
Geranium_maculatum,plant,2
Hydrophyllum_appendiculatum,plant,8
Hydrophyllum_virginianum,plant,18
Isopyrum_biternatum,plant,4
Maianthemum_racemosum,plant,22
Maianthemum_stellatum,plant,14
Mertensia_virginica,plant,19
Monarda_bradburiana,plant,10
Oxalis_violacea,plant,7
Phlox_divaricata,plant,25
Podophyllum_peltatum,plant,26
Polemonium_reptans,plant,6
Ranunculus_hispidus_var_nitidus,plant,9
Sanicula_odorata,plant,13
Tradescantia_virginiana,plant,15
Uvularia_grandiflora,plant,23
Viola_pubescens,plant,20
Viola_sororia,plant,16