species,type,order,,,
Agapostemon_sericeus,bee,28,,,
Agapostemon_splendens,bee,103,,,
Agapostemon_virescens,bee,48,,,
Andrena_andrenoides,bee,94,,,
Andrena_arabis,bee,105,,,
Andrena_carlini,bee,9,,,
Andrena_cressonii,bee,27,,,
Andrena_distans,bee,89,,,
Andrena_dunningi,bee,111,,,
Andrena_erigeniae,bee,79,,,
Andrena_erythrogaster,bee,107,,,
Andrena_erythronii,bee,66,,,
Andrena_forbesii,bee,80,,,
Andrena_geranii,bee,43,,,
Andrena_illini_sayi,bee,46,,,
Andrena_illinoensis,bee,101,,,
Andrena_imitatrix,bee,54,,,
Andrena_mandibularis,bee,55,,,
Andrena_mariae,bee,70,,,
Andrena_miserabilis,bee,72,,,
Andrena_nasonii,bee,91,,,
Andrena_nuda,bee,93,,,
Andrena_personata,bee,69,,,
Andrena_polemonii,bee,71,,,
Andrena_pruni,bee,45,,,
Andrena_rugosa,bee,50,,,
Andrena_salictaria,bee,92,,,
Andrena_violae,bee,58,,,
Anthophora_abrupta,bee,25,,,
Anthophora_terminalis,bee,84,,,
Anthophora_ursina,bee,17,,,
Apis_mellifera,bee,4,,,
Augochlora_pura,bee,32,,,
Augochlorella_aurata,bee,7,,,
Augochlorella_persimilis,bee,30,,,
Augochloropsis_fulgida_metallica,bee,36,,,
Bombus_auricomus,bee,13,,,
Bombus_bimaculatus,bee,14,,,
Bombus_griseocollis,bee,2,,,
Bombus_impatiens,bee,3,,,
Bombus_pensylvanicus,bee,1,,,
Bombus_vagans,bee,10,,,
Bombus_variabilis,bee,29,,,
Ceratina_calcarata_dupla_strenua,bee,6,,,
Chelostoma_philadelphi,bee,83,,,
Coelioxys_sayi,bee,81,,,
Colletes_inaequalis,bee,37,,,
Eucera_dubitata,bee,8,,,
Eucera_hamata,bee,5,,,
Eucera_rosae,bee,63,,,
Habropoda_laboriosa,bee,62,,,
Halictus_confusus,bee,16,,,
Halictus_ligatus,bee,44,,,
Halictus_rubicundus,bee,18,,,
Hoplitis_pilosifrons,bee,73,,,
Hoplitis_spoliata,bee,86,,,
Hylaeus_affinis,bee,77,,,
Hylaeus_brevicornis,bee,78,,,
Hylaeus_modestus,bee,57,,,
Hylaeus_saniculae,bee,76,,,
Lasioglossum_albipenne,bee,87,,,
Lasioglossum_cinctipes,bee,108,,,
Lasioglossum_coeruleum,bee,90,,,
Lasioglossum_coriaceum,bee,20,,,
Lasioglossum_cressonii,bee,59,,,
Lasioglossum_forbesii,bee,39,,,
Lasioglossum_foxii,bee,34,,,
Lasioglossum_illinoense,bee,110,,,
Lasioglossum_imitatum,bee,19,,,
Lasioglossum_laevissimum,bee,74,,,
Lasioglossum_macoupinense,bee,23,,,
Lasioglossum_obscurum,bee,31,,,
Lasioglossum_pectorale,bee,21,,,
Lasioglossum_pilosum,bee,22,,,
Lasioglossum_pruinosum,bee,51,,,
Lasioglossum_tegulare,bee,49,,,
Lasioglossum_truncatum,bee,104,,,
Lasioglossum_versatum,bee,12,,,
Lasioglossum_zephyrum,bee,41,,,
Megachile_brevis,bee,56,,,
Megachile_mendica,bee,61,,,
Nomada_affabilis,bee,38,,,
Nomada_articulata,bee,64,,,
Nomada_cressonii,bee,53,,,
Nomada_cuneata,bee,96,,,
Nomada_dentariae,bee,42,,,
Nomada_denticulata,bee,100,,,
Nomada_hydrophylli,bee,60,,,
Nomada_illinoensis,bee,98,,,
Nomada_integerrima,bee,97,,,
Nomada_luteoloides,bee,68,,,
Nomada_obliterata,bee,109,,,
Nomada_ovata,bee,35,,,
Nomada_parva,bee,88,,,
Nomada_sayi,bee,47,,,
Nomada_superba,bee,67,,,
Osmia_atriventris,bee,24,,,
Osmia_bucephala,bee,26,,,
Osmia_collinsiae,bee,33,,,
Osmia_conjuncta,bee,40,,,
Osmia_cordata,bee,52,,,
Osmia_lignaria,bee,15,,,
Osmia_pumila,bee,11,,,
Osmia_simillima,bee,65,,,
Pseudopanurgus_parvus,bee,82,,,
Sphecodes_dichrous,bee,106,,,
Sphecodes_ranunculi,bee,85,,,
Sphecodes_smilacinae,bee,75,,,
Stelis_lateralis,bee,102,,,
Anemonella_thalictroides,plant,17,,,
Camassia_scilloides,plant,11,,,
Claytonia_virginica,plant,1,,,
Delphinium_tricorne,plant,24,,,
Dentaria_laciniata,plant,3,,,
Dicentra_cucullaria,plant,21,,,
Erigenia_bulbosa,plant,5,,,
Erythronium_albidum,plant,12,,,
Geranium_maculatum,plant,2,,,
Hydrophyllum_appendiculatum,plant,8,,,
Hydrophyllum_virginianum,plant,18,,,
Isopyrum_biternatum,plant,6,,,
Maianthemum_racemosum,plant,22,,,
Maianthemum_stellatum,plant,14,,,
Mertensia_virginica,plant,19,,,
Monarda_bradburiana,plant,10,,,
Oxalis_violacea,plant,7,,,
Phlox_divaricata,plant,25,,,
Podophyllum_peltatum,plant,26,,,
Polemonium_reptans,plant,4,,,
Ranunculus_hispidus_var_nitidus,plant,9,,,
Sanicula_odorata,plant,13,,,
Tradescantia_virginiana,plant,15,,,
Uvularia_grandiflora,plant,23,,,
Viola_pubescens,plant,20,,,
Viola_sororia,plant,16,,,