Population,Region,Lat,Long
CP,Sonora,27.9461,-110.6594
TS,Sonora,28.405,-111.3658
SN,Sonora,28.8211,-111.7992
Seri,Sonora,28.8761,-111.955
SG,Sonora,29.395,-112.0536
SI,Sonora,29.7539,-112.505
PL,Sonora,30.3908,-112.5914
LF,Sonora,30.6833,-112.2708
SenBas,Sonora,31.9492,-112.8703
SnF,Baja,30.7633,-114.7275
Ctv,Baja,29.7283,-114.7189
SLG,Baja,29.5903,-114.4028
PtP,Baja,29.0814,-114.035
SnI,Baja,27.2939,-113.0189
BaC,Baja,26.5867,-111.7872
Lig,Baja,25.7272,-111.2661
StR,Baja,24.9106,-111.6314
SnE,Baja,24.4522,-110.6953
PtC,Baja,24.1889,-111.1525
LaV,Baja,24.0417,-109.9872
TsS,Baja,23.5761,-110.3403